Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,128.6,2019,juin
02 - Boissons alcoolisées et tabac,159.4,2019,juin
03 - Articles d'habillements et chaussures,117.7,2019,juin
"04 - Logements, eau, électricité et autres combustibles",117.2,2019,juin
"05 - Meubles, articles de ménages et entretien courant du foyer",112.4,2019,juin
06 - Santé,106.8,2019,juin
07 - Transport,112.9,2019,juin
08 - Communication,59.6,2019,juin
09 - Loisirs et culture,101.2,2019,juin
10 - Enseignement,153.5,2019,juin
11 - Restaurants et hôtels,133.4,2019,juin
12 - Biens et services divers,123.4,2019,juin
Ensemble,121.2,2019,juin
Produits alimentaires,129.8,2019,juin
Produits non alimentaires,114.8,2019,juin
