Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,99.8,2021,janvier
02 - Boissons alcoolisées et tabac,125.4,2021,janvier
03 - Articles d'habillements et chaussures,103.7,2021,janvier
"04 - Logements, eau, électricité et autres combustibles",102.0,2021,janvier
"05 - Meubles,articles de ménages et entretien courant du foyer",101.0,2021,janvier
06 – Santé,101.7,2021,janvier
07 – Transport,103.8,2021,janvier
08 – Communication,103.9,2021,janvier
09 - Loisirs et culture,99.5,2021,janvier
10 – Enseignement,110.3,2021,janvier
11 - Restaurants et hôtels,104.0,2021,janvier
12 - Biens et services divers,104.4,2021,janvier
Ensemble,102.3,2021,janvier
Produits alimentaires,100.7,2021,janvier
Produits non alimentaires,103.4,2021,janvier
